city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
Delhi,2022-03-05,425.0,35.8,52.8,26.1,31.9,36.5,54.0,8.0,Suburban,232.0
Beijing,2022-03-06,296.0,14.5,82.4,13.2,49.0,30.1,90.0,5.0,Urban,1930.0
Delhi,2022-03-07,402.0,39.4,50.8,22.8,21.1,16.7,25.0,10.0,Urban,183.0
Delhi,2022-03-08,66.0,28.9,40.7,23.8,53.5,24.4,60.0,0.0,Urban,1327.0
Los Angeles,2022-03-09,346.0,18.6,94.9,15.4,37.4,5.1,32.0,2.0,Urban,1435.0
Los Angeles,2022-03-10,429.0,7.9,67.4,19.6,33.6,35.0,43.0,4.0,Urban,115.0
Los Angeles,2022-03-11,176.0,26.4,25.7,37.4,68.7,8.2,93.0,10.0,Suburban,1312.0
Beijing,2022-03-12,190.0,32.7,42.1,17.6,36.7,30.7,29.0,6.0,Suburban,1629.0
Tokyo,2022-03-13,488.0,50.4,61.2,44.3,0.4,14.1,93.0,8.0,Urban,1303.0
Mexico City,2022-03-14,139.0,34.6,27.5,34.7,51.5,7.0,71.0,10.0,Urban,712.0
Delhi,2022-03-15,402.0,37.5,68.3,11.6,46.8,37.4,89.0,7.0,Urban,835.0
Delhi,2022-03-16,141.0,17.5,57.2,21.0,17.8,29.2,42.0,6.0,Urban,285.0
Mexico City,2022-03-17,241.0,27.5,66.9,51.4,58.1,28.7,68.0,7.0,Urban,1160.0
Delhi,2022-03-18,59.0,35.7,43.8,33.7,51.3,4.2,21.0,12.0,Urban,1299.0
Beijing,2022-03-19,448.0,31.6,37.8,46.5,43.8,0.5,55.0,10.0,Urban,786.0
São Paulo,2022-03-20,104.0,40.2,42.1,26.6,43.3,20.1,43.0,9.0,Suburban,953.0
Delhi,2022-03-21,350.0,22.7,42.0,38.5,35.5,32.6,69.0,9.0,Suburban,1379.0
Delhi,2022-03-22,192.0,45.6,60.2,42.7,45.1,28.1,68.0,8.0,Urban,513.0
São Paulo,2022-03-23,80.0,55.9,34.2,37.2,53.6,21.3,70.0,4.0,Urban,1504.0
Mexico City,2022-03-24,17.0,6.6,8.2,30.6,24.0,8.7,41.0,8.0,Urban,866.0
Delhi,2022-03-25,67.0,32.4,14.4,17.9,36.9,22.7,22.0,1.0,Urban,109.0
Tokyo,2022-03-26,253.0,61.7,76.6,33.2,12.9,-0.1,92.0,7.0,Suburban,716.0
Tokyo,2022-03-27,93.0,7.8,58.7,26.0,23.5,13.4,87.0,10.0,Urban,938.0
Beijing,2022-03-28,92.0,22.9,13.5,46.4,39.8,37.2,30.0,4.0,Suburban,1713.0
Mexico City,2022-03-29,476.0,50.9,65.4,25.7,53.5,17.9,51.0,10.0,Urban,1094.0
Delhi,2022-03-30,275.0,37.7,53.3,30.5,37.0,33.2,39.0,3.0,Urban,1169.0
Delhi,2022-03-31,33.0,34.4,44.2,27.2,41.3,16.9,60.0,6.0,Rural,1167.0
Mexico City,2022-04-01,68.0,14.7,91.2,26.1,46.1,7.0,52.0,8.0,Urban,278.0
Delhi,2022-04-02,262.0,42.7,39.9,29.3,35.7,13.2,57.0,8.0,Suburban,163.0
Mexico City,2022-04-03,128.0,52.8,69.7,34.1,41.0,-0.3,35.0,5.0,Urban,837.0
London,2022-04-04,109.0,40.3,95.6,19.9,32.0,17.0,43.0,1.0,Urban,742.0
Delhi,2022-04-05,395.0,26.4,50.2,20.8,43.8,16.7,23.0,11.0,Urban,572.0
Mexico City,2022-04-06,233.0,32.4,49.3,49.5,34.0,29.4,72.0,8.0,Rural,1108.0
Delhi,2022-04-07,497.0,21.4,42.2,13.0,18.0,25.1,39.0,16.0,Suburban,871.0
London,2022-04-08,336.0,29.3,48.4,19.4,43.8,1.9,43.0,7.0,Urban,1511.0
Delhi,2022-04-09,174.0,11.5,30.8,42.3,56.8,13.2,33.0,12.0,Rural,379.0
Mexico City,2022-04-10,404.0,27.8,44.5,31.4,23.2,18.2,33.0,15.0,Urban,1925.0
Mexico City,2022-04-11,236.0,46.4,43.6,28.9,32.2,34.6,48.0,9.0,Suburban,1385.0
Beijing,2022-04-12,371.0,35.5,63.0,24.1,48.8,9.4,94.0,5.0,Suburban,308.0
Mexico City,2022-04-13,220.0,32.2,45.0,44.0,34.7,9.6,63.0,5.0,Urban,127.0
Los Angeles,2022-04-14,0.0,21.7,47.7,42.0,55.3,6.7,73.0,11.0,Urban,1427.0
Mexico City,2022-04-15,179.0,36.8,60.0,4.5,20.6,11.1,41.0,4.0,Suburban,954.0
Los Angeles,2022-04-16,105.0,39.8,59.3,24.3,27.8,1.5,67.0,8.0,Urban,656.0
São Paulo,2022-04-17,129.0,23.5,47.2,17.4,34.9,39.2,71.0,7.0,Urban,944.0
Beijing,2022-04-18,195.0,27.0,8.5,25.3,49.7,7.4,84.0,6.0,Suburban,673.0
Beijing,2022-04-19,321.0,11.7,84.8,37.6,52.6,0.5,58.0,3.0,Urban,388.0
Delhi,2022-04-20,411.0,47.0,70.4,14.0,41.2,25.3,67.0,11.0,Urban,337.0
Los Angeles,2022-04-21,117.0,59.9,68.8,39.7,40.9,20.0,60.0,11.0,Suburban,222.0
Beijing,2022-04-22,296.0,27.1,51.4,34.4,30.0,16.9,22.0,4.0,Urban,487.0
Beijing,2022-04-23,224.0,44.3,71.8,30.7,47.5,-2.4,65.0,11.0,Urban,741.0
Delhi,2022-04-24,29.0,50.1,73.2,42.9,40.4,26.1,54.0,12.0,Rural,1133.0
Tokyo,2022-04-25,197.0,33.4,36.0,39.0,23.8,39.8,63.0,12.0,Suburban,1643.0
Beijing,2022-04-26,359.0,42.2,44.4,37.5,49.3,4.9,37.0,10.0,Urban,525.0
Mexico City,2022-04-27,373.0,22.6,53.2,28.4,27.6,12.8,34.0,9.0,Urban,838.0
Delhi,2022-04-28,384.0,47.1,54.0,27.0,41.4,34.5,59.0,6.0,Suburban,1332.0
Cairo,2022-04-29,408.0,25.9,33.6,36.3,31.4,-3.3,81.0,15.0,Suburban,1266.0
Delhi,2022-04-30,261.0,39.2,38.7,18.6,32.8,1.2,59.0,6.0,Urban,315.0
Delhi,2022-05-01,10.0,43.6,66.5,25.9,46.7,27.5,84.0,13.0,Urban,1817.0
London,2022-05-02,184.0,38.7,6.1,21.2,36.7,-3.9,62.0,6.0,Urban,513.0
Tokyo,2022-05-03,283.0,47.6,43.2,25.5,37.7,32.7,59.0,10.0,Suburban,152.0
Delhi,2022-05-04,130.0,16.7,52.3,37.2,38.6,17.6,44.0,7.0,Suburban,1722.0
Beijing,2022-05-05,57.0,42.9,42.6,31.0,52.1,18.4,37.0,6.0,Suburban,396.0
Los Angeles,2022-05-06,184.0,32.3,51.0,31.3,34.6,0.7,44.0,9.0,Urban,1086.0
London,2022-05-07,44.0,35.0,39.3,21.7,29.5,26.4,80.0,5.0,Rural,984.0
Beijing,2022-05-08,402.0,33.6,66.8,40.6,31.1,36.3,61.0,10.0,Urban,1771.0
Beijing,2022-05-09,169.0,32.2,87.5,24.6,29.0,26.2,70.0,8.0,Suburban,1463.0
Los Angeles,2022-05-10,298.0,56.3,69.6,31.0,31.0,8.3,25.0,13.0,Urban,66.0
Los Angeles,2022-05-11,35.0,44.2,81.3,41.3,12.1,24.7,63.0,9.0,Urban,1417.0
Los Angeles,2022-05-12,235.0,3.6,37.1,17.5,43.7,12.8,36.0,5.0,Urban,70.0
Mexico City,2022-05-13,464.0,46.2,40.4,32.6,47.4,-1.2,77.0,8.0,Urban,1315.0
Delhi,2022-05-14,125.0,42.9,36.9,45.3,41.7,24.0,91.0,9.0,Suburban,1179.0
Tokyo,2022-05-15,346.0,24.1,71.9,40.8,37.6,7.8,62.0,4.0,Urban,929.0
London,2022-05-16,177.0,40.2,38.5,34.3,51.3,33.0,50.0,10.0,Rural,1858.0
Los Angeles,2022-05-17,322.0,34.6,58.9,23.2,39.0,13.0,53.0,9.0,Urban,1513.0
Delhi,2022-05-18,491.0,38.1,63.2,44.0,42.2,36.9,83.0,1.0,Rural,1916.0
Delhi,2022-05-19,84.0,23.3,49.2,36.2,61.5,6.2,85.0,6.0,Rural,1648.0
Los Angeles,2022-05-20,62.0,13.7,65.6,35.4,48.8,22.9,54.0,3.0,Urban,652.0
Cairo,2022-05-22,254.0,27.7,84.2,32.0,39.2,3.7,63.0,5.0,Urban,874.0
Beijing,2022-05-23,130.0,25.0,69.3,30.2,43.0,5.9,64.0,8.0,Urban,441.0
Los Angeles,2022-05-24,288.0,42.5,47.9,30.2,39.0,39.5,48.0,2.0,Suburban,291.0
Tokyo,2022-05-25,131.0,28.2,53.7,31.2,8.9,32.4,24.0,5.0,Suburban,216.0
Beijing,2022-05-26,223.0,38.6,5.5,25.7,51.3,11.9,80.0,4.0,Urban,1789.0
Beijing,2022-05-27,445.0,23.4,57.8,25.5,45.5,8.6,76.0,13.0,Urban,1068.0
Mexico City,2022-05-28,178.0,42.2,7.5,31.6,36.5,24.0,61.0,7.0,Urban,758.0
Mexico City,2022-05-29,312.0,49.7,32.5,21.1,58.3,24.0,39.0,10.0,Rural,1409.0
Beijing,2022-05-30,460.0,37.9,74.9,24.1,41.9,28.1,84.0,6.0,Urban,1609.0
Mexico City,2022-05-31,333.0,19.5,61.3,16.2,40.5,30.4,41.0,0.0,Urban,460.0
Tokyo,2022-06-01,199.0,40.9,56.7,31.1,21.5,-4.8,67.0,10.0,Suburban,1781.0
Beijing,2022-06-02,486.0,23.9,47.3,29.9,46.4,33.9,65.0,9.0,Urban,590.0
Delhi,2022-06-03,222.0,38.3,33.5,36.5,34.4,-1.6,71.0,13.0,Urban,228.0
Beijing,2022-06-04,199.0,6.2,30.7,30.5,34.1,17.1,30.0,2.0,Rural,441.0
Beijing,2022-06-05,314.0,49.0,57.6,29.4,35.3,-1.8,70.0,16.0,Urban,1736.0
Delhi,2022-06-06,137.0,39.2,28.5,36.8,46.5,5.6,37.0,11.0,Urban,555.0
Delhi,2022-06-07,244.0,38.0,50.9,24.2,57.3,33.3,66.0,8.0,Urban,1915.0
Mexico City,2022-06-08,133.0,50.1,53.5,36.2,46.8,12.0,80.0,7.0,Suburban,1466.0
Beijing,2022-06-09,30.0,9.7,44.8,22.1,51.6,-0.8,74.0,9.0,Suburban,684.0
Cairo,2022-06-10,99.0,22.8,34.3,22.3,27.2,24.5,77.0,5.0,Urban,1445.0
Delhi,2022-06-11,343.0,29.3,53.7,24.6,56.5,25.2,48.0,5.0,Urban,1663.0
Delhi,2022-06-12,418.0,0.9,35.1,25.6,46.3,11.2,62.0,5.0,Suburban,537.0
Los Angeles,2022-06-13,100.0,38.7,52.4,31.8,37.1,21.6,82.0,8.0,Urban,563.0
Tokyo,2022-06-14,144.0,18.9,51.0,23.6,44.0,38.9,24.0,11.0,Urban,1808.0
Delhi,2022-06-15,77.0,53.6,90.7,28.3,32.7,11.2,71.0,9.0,Urban,1898.0
Delhi,2022-06-16,58.0,21.8,63.7,30.2,49.4,26.4,30.0,11.0,Rural,796.0
Delhi,2022-06-17,96.0,51.7,29.8,12.6,43.9,18.6,39.0,8.0,Urban,1926.0
Beijing,2022-06-18,387.0,20.1,70.6,25.9,41.2,16.0,62.0,11.0,Suburban,1727.0
Beijing,2022-06-19,380.0,52.6,32.7,22.4,41.9,11.8,45.0,15.0,Suburban,100.0
Delhi,2022-06-20,481.0,31.3,88.4,45.2,71.4,27.3,74.0,7.0,Urban,144.0
Delhi,2022-06-21,10.0,24.5,41.7,26.0,52.4,16.1,34.0,6.0,Urban,1346.0
Beijing,2022-06-22,383.0,61.9,87.0,26.1,40.2,33.5,37.0,6.0,Urban,935.0
Cairo,2022-06-23,292.0,49.3,54.9,34.5,35.1,32.7,24.0,11.0,Urban,1361.0
Mexico City,2022-06-24,166.0,32.5,35.2,23.6,44.9,17.1,48.0,10.0,Urban,1700.0
Beijing,2022-06-25,83.0,9.6,32.7,33.9,34.9,5.6,37.0,2.0,Urban,1248.0
Delhi,2022-06-26,86.0,20.5,74.0,23.8,24.0,5.0,82.0,8.0,Suburban,55.0
Delhi,2022-06-27,254.0,36.8,51.2,39.3,36.9,-2.6,80.0,9.0,Urban,231.0
Delhi,2022-06-28,393.0,26.3,39.1,34.2,43.2,0.5,70.0,8.0,Rural,909.0
Los Angeles,2022-06-29,66.0,20.5,56.4,43.4,42.4,-0.3,70.0,10.0,Urban,1853.0
Tokyo,2022-07-01,79.0,48.2,71.0,39.8,30.6,27.9,45.0,10.0,Suburban,656.0
São Paulo,2022-07-02,98.0,62.1,84.6,25.7,36.3,28.8,77.0,9.0,Urban,582.0
São Paulo,2022-07-03,13.0,21.4,82.2,48.8,39.9,36.3,49.0,9.0,Rural,924.0
Cairo,2022-07-04,473.0,25.3,70.3,24.8,24.7,34.0,88.0,6.0,Urban,967.0
Delhi,2022-07-05,152.0,50.9,50.3,21.1,87.8,23.6,74.0,15.0,Urban,1802.0
Delhi,2022-07-06,296.0,19.4,46.4,26.7,55.4,23.5,67.0,4.0,Urban,342.0
Beijing,2022-07-07,75.0,27.1,11.6,54.3,42.0,16.0,24.0,5.0,Suburban,1510.0
Mexico City,2022-07-08,295.0,37.1,84.0,36.0,40.3,36.7,34.0,4.0,Suburban,302.0
Delhi,2022-07-09,349.0,52.0,30.4,4.2,24.7,32.9,26.0,13.0,Urban,1724.0
London,2022-07-10,198.0,11.7,73.8,26.8,29.4,5.8,32.0,6.0,Suburban,674.0
Beijing,2022-07-12,102.0,19.3,64.5,45.0,46.0,7.6,20.0,12.0,Urban,655.0
Delhi,2022-07-13,220.0,52.7,72.6,18.8,45.6,12.2,81.0,7.0,Urban,1760.0
Delhi,2022-07-14,291.0,40.8,36.3,34.9,42.7,-3.9,60.0,11.0,Urban,1210.0
Delhi,2022-07-15,43.0,31.9,35.5,20.4,37.2,37.8,76.0,6.0,Urban,1584.0
London,2022-07-16,210.0,31.5,52.8,31.3,61.5,21.7,60.0,5.0,Urban,1214.0
Mexico City,2022-07-17,191.0,42.4,54.9,19.1,22.5,33.3,86.0,10.0,Urban,695.0
Los Angeles,2022-07-18,81.0,24.3,60.4,30.4,36.2,-1.7,68.0,5.0,Urban,132.0
Delhi,2022-07-19,45.0,30.9,56.7,42.0,56.3,8.4,30.0,4.0,Urban,1321.0
Beijing,2022-07-20,9.0,28.3,39.8,20.2,36.9,8.1,42.0,6.0,Urban,686.0
Beijing,2022-07-21,181.0,34.1,56.0,7.7,50.4,23.0,68.0,8.0,Urban,756.0
Los Angeles,2022-07-22,442.0,50.6,60.8,24.8,42.8,21.0,89.0,10.0,Urban,1957.0
Los Angeles,2022-07-23,359.0,23.0,78.3,32.9,44.0,10.0,27.0,6.0,Urban,200.0
Delhi,2022-07-24,465.0,44.9,80.3,18.1,49.4,35.1,62.0,12.0,Urban,982.0
Tokyo,2022-07-25,255.0,38.2,48.4,22.9,67.4,37.2,88.0,7.0,Urban,1782.0
Delhi,2022-07-26,50.0,31.8,67.6,49.2,55.3,14.0,88.0,7.0,Suburban,1978.0
Tokyo,2022-07-27,247.0,45.4,84.4,22.9,47.8,30.6,22.0,12.0,Suburban,272.0
Delhi,2022-07-28,146.0,35.1,44.8,17.1,48.6,7.7,28.0,5.0,Urban,740.0
Delhi,2022-07-29,309.0,40.7,35.5,28.2,33.8,8.6,66.0,11.0,Urban,507.0
London,2022-07-30,362.0,52.0,45.7,37.1,22.9,22.2,74.0,7.0,Urban,1704.0
Delhi,2022-07-31,472.0,28.6,43.1,40.0,27.0,25.6,25.0,6.0,Suburban,1746.0
Beijing,2022-08-01,323.0,27.9,75.1,33.8,24.8,28.6,62.0,10.0,Urban,1186.0
Beijing,2022-08-02,300.0,42.6,77.4,36.2,26.0,19.2,51.0,8.0,Urban,1447.0
Delhi,2022-08-03,198.0,33.7,86.8,20.9,46.7,33.7,79.0,11.0,Urban,323.0
Los Angeles,2022-08-04,97.0,49.7,61.2,30.9,17.4,7.2,24.0,7.0,Rural,762.0
London,2022-08-05,161.0,65.4,72.5,34.8,44.1,18.5,48.0,7.0,Urban,1009.0
London,2022-08-06,288.0,57.6,57.7,25.3,44.7,3.4,68.0,9.0,Suburban,1956.0
Beijing,2022-08-07,493.0,20.9,95.3,41.0,41.0,-1.1,48.0,2.0,Urban,218.0
Beijing,2022-08-08,301.0,44.9,75.1,41.4,34.8,33.5,57.0,11.0,Urban,1762.0
Delhi,2022-08-09,55.0,7.8,65.6,25.3,42.3,25.3,41.0,4.0,Suburban,1233.0
Delhi,2022-08-10,57.0,39.8,58.2,19.4,46.4,18.4,41.0,15.0,Suburban,1540.0
Delhi,2022-08-11,410.0,31.2,60.8,28.9,16.5,28.1,62.0,6.0,Suburban,70.0
Tokyo,2022-08-12,420.0,41.7,64.1,43.6,63.4,8.1,37.0,7.0,Urban,273.0
Tokyo,2022-08-13,192.0,34.3,34.0,33.4,29.0,4.3,28.0,5.0,Urban,1363.0
Los Angeles,2022-08-14,149.0,28.0,24.4,22.2,29.2,29.2,33.0,9.0,Urban,1423.0
Beijing,2022-08-15,6.0,37.4,88.5,31.6,50.8,31.6,28.0,7.0,Urban,772.0
Beijing,2022-08-16,401.0,51.9,45.4,13.0,40.5,15.7,71.0,14.0,Urban,1607.0
Beijing,2022-08-18,324.0,54.2,44.0,50.4,56.8,33.4,67.0,11.0,Urban,132.0
Beijing,2022-08-19,487.0,46.8,67.8,44.1,39.7,3.1,22.0,8.0,Suburban,1894.0
Delhi,2022-08-20,95.0,48.2,36.6,30.4,40.5,28.9,74.0,6.0,Suburban,403.0
Delhi,2022-08-21,414.0,32.5,29.1,31.0,28.4,23.1,44.0,7.0,Suburban,977.0
Cairo,2022-08-22,484.0,33.8,51.3,41.1,35.0,-5.0,24.0,8.0,Suburban,1912.0
Beijing,2022-08-23,310.0,45.6,29.9,36.2,38.1,25.7,23.0,7.0,Suburban,230.0
Cairo,2022-08-24,328.0,10.1,50.1,50.3,28.1,30.0,77.0,4.0,Urban,1486.0
Delhi,2022-08-25,372.0,41.1,41.3,17.7,21.8,34.8,58.0,14.0,Urban,1702.0
Mexico City,2022-08-26,175.0,32.8,68.2,10.5,45.4,0.4,37.0,7.0,Urban,628.0
Delhi,2022-08-27,139.0,31.5,66.3,38.3,33.9,5.4,62.0,9.0,Urban,1278.0
Delhi,2022-08-28,328.0,18.8,6.9,18.4,47.8,29.2,62.0,7.0,Urban,227.0
Delhi,2022-08-29,138.0,37.9,58.4,44.9,60.1,17.9,77.0,6.0,Suburban,1552.0
Delhi,2022-08-30,382.0,24.3,7.7,46.5,18.2,27.7,73.0,9.0,Suburban,1795.0
Tokyo,2022-08-31,429.0,38.0,67.9,28.0,39.2,15.2,21.0,16.0,Urban,1821.0
Beijing,2022-09-01,258.0,36.1,58.3,31.6,29.0,24.7,77.0,7.0,Urban,742.0
Mexico City,2022-09-02,295.0,25.3,86.4,28.8,24.0,7.2,58.0,5.0,Urban,536.0
Beijing,2022-09-03,46.0,51.2,93.6,38.2,20.7,21.6,82.0,4.0,Urban,605.0
Beijing,2022-09-04,223.0,31.6,43.4,23.1,31.2,32.5,48.0,9.0,Urban,1196.0
Beijing,2022-09-05,497.0,42.8,49.3,24.6,31.0,12.8,30.0,12.0,Urban,424.0
Delhi,2022-09-06,315.0,19.5,44.0,27.7,47.8,31.7,91.0,4.0,Suburban,111.0
São Paulo,2022-09-07,38.0,31.1,96.3,26.8,28.3,23.9,75.0,6.0,Urban,1364.0
London,2022-09-08,190.0,20.6,70.4,16.7,65.0,28.3,74.0,6.0,Urban,1081.0
Los Angeles,2022-09-09,351.0,35.4,59.4,24.3,30.6,39.1,75.0,10.0,Urban,1430.0
Beijing,2022-09-10,450.0,39.8,35.8,35.5,55.0,-2.4,69.0,6.0,Urban,1047.0
Delhi,2022-09-11,365.0,39.7,28.0,38.0,56.6,35.8,35.0,2.0,Suburban,821.0
Tokyo,2022-09-12,145.0,59.9,52.5,31.0,29.9,5.2,51.0,9.0,Suburban,1831.0
Beijing,2022-09-13,124.0,48.5,73.8,41.1,44.1,-0.7,71.0,10.0,Urban,370.0
Delhi,2022-09-14,80.0,13.0,49.4,35.5,69.9,38.4,83.0,8.0,Urban,661.0
Beijing,2022-09-15,350.0,47.1,35.9,29.0,33.8,1.0,56.0,8.0,Suburban,920.0
Los Angeles,2022-09-16,90.0,24.3,78.4,19.8,60.8,0.3,76.0,7.0,Rural,734.0
Mexico City,2022-09-17,326.0,46.6,51.2,19.4,36.5,28.9,34.0,9.0,Suburban,1881.0
Los Angeles,2022-09-18,462.0,9.7,64.6,10.3,29.4,8.4,68.0,4.0,Urban,982.0
Los Angeles,2022-09-19,333.0,32.2,71.9,14.0,45.9,30.5,69.0,7.0,Suburban,474.0
Delhi,2022-09-20,153.0,40.2,65.1,46.2,43.1,35.6,53.0,11.0,Urban,900.0
Tokyo,2022-09-21,114.0,20.8,29.5,33.9,22.3,18.6,56.0,1.0,Urban,1355.0
Beijing,2022-09-22,488.0,54.8,63.2,35.0,21.1,-4.0,60.0,5.0,Urban,995.0
Mexico City,2022-09-23,65.0,64.9,4.4,27.3,59.4,19.0,93.0,14.0,Urban,891.0
Delhi,2022-09-24,20.0,33.8,50.8,14.6,21.6,18.9,93.0,11.0,Urban,1626.0
São Paulo,2022-09-25,254.0,46.7,69.6,40.7,53.1,-0.5,56.0,9.0,Suburban,1207.0
Delhi,2022-09-26,24.0,48.3,41.8,31.5,44.9,-2.9,86.0,0.0,Urban,653.0
Delhi,2022-09-27,408.0,25.8,49.6,35.1,52.2,19.5,50.0,6.0,Suburban,411.0
Beijing,2022-09-28,410.0,25.4,57.5,53.9,43.1,3.5,22.0,4.0,Urban,868.0
Delhi,2022-09-29,67.0,40.3,43.6,34.8,44.2,26.0,64.0,9.0,Urban,508.0
Delhi,2022-09-30,202.0,57.0,32.2,29.1,32.4,-2.0,90.0,12.0,Urban,683.0
Mexico City,2022-10-01,467.0,50.2,1.3,8.1,47.3,8.4,70.0,11.0,Suburban,1384.0
Beijing,2022-10-02,351.0,12.5,96.6,18.7,50.9,-2.0,37.0,2.0,Urban,68.0
Beijing,2022-10-04,296.0,52.5,58.6,34.1,40.1,0.4,52.0,11.0,Suburban,215.0
Los Angeles,2022-10-05,270.0,7.7,52.2,32.2,47.9,24.0,69.0,6.0,Urban,240.0
Beijing,2022-10-06,343.0,46.3,32.8,44.6,60.7,-3.7,53.0,9.0,Suburban,1271.0
Mexico City,2022-10-07,443.0,35.7,40.7,44.8,29.1,25.3,75.0,11.0,Urban,854.0
Beijing,2022-10-09,474.0,50.0,80.0,17.9,54.7,22.5,78.0,7.0,Suburban,1377.0
Beijing,2022-10-11,27.0,37.7,37.6,12.4,19.4,28.2,43.0,8.0,Urban,590.0
Delhi,2022-10-12,284.0,40.7,38.2,22.5,27.8,-0.9,37.0,10.0,Suburban,1795.0
Mexico City,2022-10-13,200.0,12.1,71.6,29.7,37.8,29.1,37.0,3.0,Urban,1788.0
London,2022-10-14,201.0,10.9,32.4,24.7,58.9,31.3,44.0,4.0,Suburban,1723.0
Delhi,2022-10-15,349.0,44.3,67.5,38.0,49.8,21.3,69.0,12.0,Suburban,1858.0
Beijing,2022-10-16,348.0,36.9,49.9,40.4,34.1,3.7,25.0,9.0,Suburban,1082.0
Tokyo,2022-10-17,202.0,44.8,48.9,22.9,51.2,1.4,24.0,6.0,Urban,1226.0
Los Angeles,2022-10-18,60.0,28.3,25.4,30.1,62.9,1.5,63.0,9.0,Urban,1752.0
São Paulo,2022-10-19,47.0,24.3,65.6,13.0,26.8,18.9,58.0,9.0,Urban,1874.0
Beijing,2022-10-20,133.0,27.8,71.4,28.9,48.7,12.2,20.0,10.0,Urban,1523.0
Mexico City,2022-10-21,373.0,23.1,3.5,31.7,45.0,29.2,29.0,8.0,Urban,103.0
Beijing,2022-10-22,93.0,50.9,86.6,20.4,52.4,38.1,21.0,9.0,Urban,994.0
Tokyo,2022-10-23,429.0,45.7,49.1,32.1,30.1,10.1,62.0,6.0,Suburban,606.0
Beijing,2022-10-24,420.0,43.3,75.2,27.4,39.6,-0.2,46.0,12.0,Rural,56.0
Los Angeles,2022-10-25,257.0,56.4,57.4,50.0,45.1,39.7,73.0,11.0,Suburban,580.0
Beijing,2022-10-26,311.0,23.5,81.5,35.0,31.9,33.3,71.0,7.0,Urban,1272.0
Mexico City,2022-10-27,365.0,15.6,106.5,25.9,30.0,17.0,88.0,6.0,Urban,1617.0
Los Angeles,2022-10-28,0.0,31.6,55.2,27.3,12.1,5.9,27.0,11.0,Urban,226.0
Beijing,2022-10-29,237.0,41.1,81.5,33.4,30.9,12.3,84.0,7.0,Urban,753.0
Tokyo,2022-10-30,412.0,24.6,57.2,18.4,37.2,25.3,33.0,3.0,Urban,455.0
Beijing,2022-10-31,471.0,18.8,66.9,28.8,35.3,27.1,68.0,8.0,Suburban,1550.0
Mexico City,2022-11-01,137.0,22.6,17.5,42.8,26.8,34.5,76.0,2.0,Rural,1365.0
Beijing,2022-11-02,247.0,47.3,54.8,29.9,51.3,5.6,78.0,8.0,Suburban,1223.0
Beijing,2022-11-03,5.0,43.8,49.5,21.9,44.4,-1.8,45.0,8.0,Urban,247.0
Beijing,2022-11-04,68.0,56.1,43.1,18.4,49.3,28.3,93.0,11.0,Urban,304.0
Delhi,2022-11-05,40.0,56.6,51.6,25.4,46.7,29.5,76.0,10.0,Rural,706.0
Mexico City,2022-11-07,277.0,6.6,44.2,27.4,59.4,36.6,88.0,9.0,Suburban,1056.0
Mexico City,2022-11-08,159.0,39.0,59.2,30.6,46.4,4.6,35.0,9.0,Urban,1838.0
Mexico City,2022-11-09,91.0,36.2,38.7,25.6,41.8,24.1,23.0,4.0,Urban,1869.0
Delhi,2022-11-10,435.0,39.2,6.3,28.8,49.9,25.3,91.0,16.0,Suburban,1085.0
Beijing,2022-11-11,314.0,25.4,27.5,36.3,30.4,5.7,48.0,9.0,Urban,564.0
Delhi,2022-11-12,395.0,17.2,31.8,38.9,40.4,17.7,68.0,8.0,Urban,1956.0
Los Angeles,2022-11-13,427.0,38.9,33.5,30.9,47.3,21.2,54.0,12.0,Urban,1049.0
London,2022-11-14,434.0,12.3,68.3,29.7,34.3,8.3,42.0,8.0,Rural,644.0
Delhi,2022-11-15,204.0,49.7,59.6,24.9,40.3,0.8,25.0,10.0,Suburban,1975.0
Mexico City,2022-11-16,350.0,13.8,57.5,15.9,36.5,25.6,63.0,8.0,Urban,370.0
Delhi,2022-11-17,435.0,5.3,74.1,12.0,49.5,27.7,47.0,0.0,Urban,772.0
Delhi,2022-11-18,381.0,41.2,28.4,26.9,62.0,32.1,21.0,8.0,Urban,312.0
Delhi,2022-11-19,106.0,29.8,42.0,28.2,20.7,-2.7,27.0,8.0,Suburban,1715.0
Delhi,2022-11-20,460.0,6.2,73.9,16.7,29.4,4.4,52.0,3.0,Urban,1320.0
Mexico City,2022-11-21,320.0,24.3,36.6,36.9,30.6,7.0,32.0,4.0,Suburban,1939.0
Tokyo,2022-11-22,70.0,45.1,73.8,21.3,42.3,31.0,59.0,7.0,Urban,922.0
Delhi,2022-11-23,446.0,38.5,57.5,22.4,37.8,25.1,86.0,8.0,Suburban,357.0
Beijing,2022-11-24,397.0,29.1,46.1,31.3,37.6,33.7,35.0,0.0,Rural,865.0
Los Angeles,2022-11-25,274.0,34.7,51.4,42.9,26.8,26.1,21.0,9.0,Rural,730.0
Cairo,2022-11-26,177.0,31.8,46.5,36.3,41.0,4.6,33.0,4.0,Urban,1707.0
Mexico City,2022-11-27,390.0,17.7,44.4,24.6,32.8,4.7,72.0,5.0,Suburban,1843.0
Delhi,2022-11-28,292.0,11.3,42.6,10.5,36.2,13.7,93.0,8.0,Suburban,493.0
Mexico City,2022-11-29,302.0,32.2,59.1,36.1,51.3,15.5,44.0,10.0,Urban,1107.0
